Al,Si,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Tm,delta,To,t,protective_sum,risk_sum,Al_Cr_interaction,thermal_dose,kinetics_class
0.0,0.0,-3.3613445378151265,1.0,0.0,0.0,0.0,1.0,0.0,0.524,20.0,1.857391857769404,-0.7056969122269973,0.6666666666666666,0.0,-0.5,0.0,0.0,0.0777096114519427,0
0.0,0.0,-3.3613445378151265,1.0,0.0,0.0,0.0,1.0,0.0,0.524,20.0,1.857391857769404,-0.7056969122269973,0.6666666666666666,0.4897959183673469,-0.5,0.0,0.0,0.6666666666666666,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909092,1.25,0.0,-0.476,0.0,0.395805373199802,-0.9336324025270905,-0.6666666666666666,-0.4693877551020408,-0.5,0.2,0.0,-0.4948875255623722,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909092,1.25,0.0,-0.476,0.0,0.395805373199802,-0.9336324025270905,-0.6666666666666666,0.5306122448979592,-0.5,0.2,0.0,0.3067484662576687,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909092,1.25,0.0,-0.476,0.0,0.395805373199802,-0.9336324025270905,-0.6666666666666666,1.5510204081632653,-0.5,0.2,0.0,1.1247443762781186,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909092,1.25,0.0,-0.476,0.0,0.395805373199802,-0.9336324025270905,0.0,-0.4693877551020408,-0.5,0.2,0.0,-0.4907975460122699,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909092,1.25,0.0,-0.476,0.0,0.395805373199802,-0.9336324025270905,0.0,0.5306122448979592,-0.5,0.2,0.0,0.5112474437627812,0
0.0,0.0,0.8403361344537816,1.25,0.0,0.0,0.9090909090909092,1.25,0.0,-0.476,0.0,0.395805373199802,-0.9336324025270905,0.0,1.5510204081632653,-0.5,0.2,0.0,1.5337423312883436,0
0.0,0.0,0.8403361344537816,1.25,1.25,0.0,0.9090909090909092,0.0,0.0,-0.476,0.0,-0.1070275707516849,-1.1067579151186933,-0.6666666666666666,-0.4693877551020408,0.125,0.2,0.0,-0.4948875255623722,0
0.0,0.0,0.8403361344537816,1.25,1.25,0.0,0.9090909090909092,0.0,0.0,-0.476,0.0,-0.1070275707516849,-1.1067579151186933,-0.6666666666666666,0.5306122448979592,0.125,0.2,0.0,0.3067484662576687,0
0.0,0.0,0.8403361344537816,1.25,1.25,0.0,0.9090909090909092,0.0,0.0,-0.476,0.0,-0.1070275707516849,-1.1067579151186933,-0.6666666666666666,1.5510204081632653,0.125,0.2,0.0,1.1247443762781186,0
0.0,0.0,0.8403361344537816,1.25,1.25,0.0,0.9090909090909092,0.0,0.0,-0.476,0.0,-0.1070275707516849,-1.1067579151186933,0.0,-0.4693877551020408,0.125,0.2,0.0,-0.4907975460122699,0
0.0,0.0,0.8403361344537816,1.25,1.25,0.0,0.9090909090909092,0.0,0.0,-0.476,0.0,-0.1070275707516849,-1.1067579151186933,0.0,0.5306122448979592,0.125,0.2,0.0,0.5112474437627812,0
0.0,0.0,0.8403361344537816,1.25,1.25,0.0,0.9090909090909092,0.0,0.0,-0.476,0.0,-0.1070275707516849,-1.1067579151186933,0.0,1.5510204081632653,0.125,0.2,0.0,1.5337423312883436,0
0.8800000000000001,2.9,-2.453781512605042,0.0,1.26,0.0,-0.8727272727272729,1.015,0.0,0.194,0.0,0.0351402134214037,0.4914097091624804,0.0,-0.4693877551020408,0.6425000000000001,-0.8,1.3688888888888888,-0.4907975460122699,0
0.8800000000000001,2.9,-2.453781512605042,0.0,1.26,0.0,-0.8727272727272729,1.015,0.0,0.194,0.0,0.0351402134214037,0.4914097091624804,0.0,1.5510204081632653,0.6425000000000001,-0.8,1.3688888888888888,1.5337423312883436,0
0.8800000000000001,2.9,-2.453781512605042,0.0,1.26,0.0,-0.8727272727272729,1.015,0.0,0.194,0.0,0.0351402134214037,0.4914097091624804,0.0,3.5918367346938775,0.6425000000000001,-0.8,1.3688888888888888,3.5787321063394684,0
0.8800000000000001,2.9,-2.453781512605042,0.0,1.26,0.0,-0.8727272727272729,1.015,0.0,0.194,0.0,0.0351402134214037,0.4914097091624804,1.0,-0.4693877551020408,0.6425000000000001,-0.8,1.3688888888888888,-0.4846625766871165,1
0.8800000000000001,2.9,-2.453781512605042,0.0,1.26,0.0,-0.8727272727272729,1.015,0.0,0.194,0.0,0.0351402134214037,0.4914097091624804,1.0,0.5306122448979592,0.6425000000000001,-0.8,1.3688888888888888,0.8179959100204499,1
0.8800000000000001,2.9,-2.453781512605042,0.0,1.26,0.0,-0.8727272727272729,1.015,0.0,0.194,0.0,0.0351402134214037,0.4914097091624804,1.0,1.5510204081632653,0.6425000000000001,-0.8,1.3688888888888888,2.147239263803681,1
