Al,Si,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Tm,delta,To,t,protective_sum,risk_sum,Al_Cr_interaction,thermal_dose,predicted_n,log10_k,alloy_group,kinetics_class
0.0,0.0,0.8403361344537816,1.25,0.0,1.25,0.9090909090909091,0.0,0.0,-0.476,0.0,-0.1435461644464857,0.0,0.0,0.5306122448979592,-0.5,1.2,0.0,0.5112474437627812,-1.0,2.380211241711606,TiVZrNb,0
0.0,0.0,2.9411764705882355,0.0,0.0,1.25,-1.3636363636363635,0.0,12.5,0.14900000000000002,0.0,0.07451197675035329,-0.27939456528239537,-1.3333333333333333,-0.46938775510204084,-0.5,0.2,0.0,-0.49897750511247446,-1.0,1.8129133566428557,Ti37.5Zr25Nb12.5Hf12.5Ta12.5,0
0.0,0.0,2.9411764705882355,0.0,0.0,1.25,-1.3636363636363635,0.0,12.5,0.14900000000000002,0.0,0.07451197675035329,-0.27939456528239537,-1.3333333333333333,0.5306122448979592,-0.5,0.2,0.0,0.10224948875255624,-1.0,1.8129133566428557,Ti37.5Zr25Nb12.5Hf12.5Ta12.5,0
0.0,0.0,2.9411764705882355,0.0,0.0,1.25,-1.3636363636363635,0.0,12.5,0.14900000000000002,0.0,0.07451197675035329,-0.27939456528239537,-1.3333333333333333,1.5510204081632653,-0.5,0.2,0.0,0.7157464212678937,-1.0,1.8129133566428557,Ti37.5Zr25Nb12.5Hf12.5Ta12.5,0
0.0,0.0,2.9411764705882355,0.0,0.0,1.25,-1.3636363636363635,0.0,12.5,0.14900000000000002,0.0,0.07451197675035329,-0.27939456528239537,-1.0,-0.46938775510204084,-0.5,0.2,0.0,-0.49693251533742333,-1.0,2.041392685158225,Ti37.5Zr25Nb12.5Hf12.5Ta12.5,0
0.0,0.0,2.9411764705882355,0.0,0.0,1.25,-1.3636363636363635,0.0,12.5,0.14900000000000002,0.0,0.07451197675035329,-0.27939456528239537,-1.0,0.5306122448979592,-0.5,0.2,0.0,0.20449897750511248,-1.0,2.041392685158225,Ti37.5Zr25Nb12.5Hf12.5Ta12.5,0
0.0,0.0,2.9411764705882355,0.0,0.0,1.25,-1.3636363636363635,0.0,12.5,0.14900000000000002,0.0,0.07451197675035329,-0.27939456528239537,-1.0,1.5510204081632653,-0.5,0.2,0.0,0.9202453987730062,-1.0,2.041392685158225,Ti37.5Zr25Nb12.5Hf12.5Ta12.5,0
0.0,0.0,2.9411764705882355,0.0,0.0,1.25,-1.3636363636363635,0.0,12.5,0.14900000000000002,0.0,0.07451197675035329,-0.27939456528239537,-0.6666666666666666,-0.46938775510204084,-0.5,0.2,0.0,-0.4948875255623722,-1.0,2.3010299956639813,Ti37.5Zr25Nb12.5Hf12.5Ta12.5,0
0.0,0.0,2.9411764705882355,0.0,0.0,1.25,-1.3636363636363635,0.0,12.5,0.14900000000000002,0.0,0.07451197675035329,-0.27939456528239537,-0.6666666666666666,0.02040816326530612,-0.5,0.2,0.0,-0.10224948875255624,-1.0,2.3010299956639813,Ti37.5Zr25Nb12.5Hf12.5Ta12.5,0
0.0,0.0,2.9411764705882355,0.0,0.0,1.25,-1.3636363636363635,0.0,12.5,0.14900000000000002,0.0,0.07451197675035329,-0.27939456528239537,-0.6666666666666666,0.5306122448979592,-0.5,0.2,0.0,0.3067484662576687,-1.0,2.3010299956639813,Ti37.5Zr25Nb12.5Hf12.5Ta12.5,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,-1.0,-0.46938775510204084,-0.5,0.8,0.0,-0.49693251533742333,-1.0,1.6532125137753435,TiVZrNbHf,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,-1.0,0.0,-0.5,0.8,0.0,-0.16768916155419222,-1.0,1.6532125137753435,TiVZrNbHf,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,-1.0,0.4897959183673469,-0.5,0.8,0.0,0.17586912065439672,-1.0,1.6532125137753435,TiVZrNbHf,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,-0.3333333333333333,-0.46938775510204084,-0.5,0.8,0.0,-0.49284253578732107,-1.0,2.204119982655925,TiVZrNbHf,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,-0.3333333333333333,0.0,-0.5,0.8,0.0,-0.06952965235173825,-1.0,2.204119982655925,TiVZrNbHf,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,-0.3333333333333333,0.4897959183673469,-0.5,0.8,0.0,0.3721881390593047,-1.0,2.204119982655925,TiVZrNbHf,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,0.0,-0.46938775510204084,-0.5,0.8,0.0,-0.49079754601226994,-1.0,2.4913616938342726,TiVZrNbHf,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,0.0,-0.24489795918367346,-0.5,0.8,0.0,-0.2658486707566462,-1.0,2.4913616938342726,TiVZrNbHf,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,-0.476,0.0,0.0,0.1415797632671045,0.0,0.0,-0.5,0.8,0.0,-0.02044989775051125,-1.0,2.4913616938342726,TiVZrNbHf,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.476,0.0,0.2191115621688044,-0.22734663597735372,-0.6666666666666666,-0.46938775510204084,-0.5,0.8,0.0,-0.4948875255623722,-1.0,1.8750612633917,TiVZrNbMo,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.476,0.0,0.2191115621688044,-0.22734663597735372,-0.6666666666666666,0.0,-0.5,0.8,0.0,-0.11860940695296524,-1.0,1.8750612633917,TiVZrNbMo,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.476,0.0,0.2191115621688044,-0.22734663597735372,-0.6666666666666666,0.4897959183673469,-0.5,0.8,0.0,0.2740286298568507,-1.0,1.8750612633917,TiVZrNbMo,0
